@timestamp,system.cpu.user.pct,system.cpu.system.pct,system.cpu.idle.pct,system.cpu.iowait.pct,system.cpu.softirq.pct,system.cpu.total.pct,label
2018-01-01 00:00:00,0.711,0.0675,3.1702,0.0302,0.0211,0.8298,0
2018-01-01 00:00:10,0.6695,0.0633,3.241,0.0101,0.0161,0.759,0
2018-01-01 00:00:20,0.5851,0.0755,3.3162,0.002,0.0211,0.6838,0
2018-01-01 00:00:30,0.535,0.0836,3.3552,0.005,0.0212,0.6448,0
2018-01-01 00:00:40,0.6239,0.0584,3.2926,0.004,0.0211,0.7074,0
2018-01-01 00:00:50,0.8318,0.068,3.0832,0.002,0.015,0.9168,0
2018-01-01 00:01:00,0.4095,0.0676,3.5008,0.004,0.0182,0.4992,0
2018-01-01 00:01:10,0.3234,0.0667,3.5826,0.0091,0.0182,0.4174,0
2018-01-01 00:01:20,0.3609,0.0622,3.5549,0.004,0.018000000000000002,0.4451,0
2018-01-01 00:01:30,0.8325,0.0611,3.0894,0.006999999999999999,0.01,0.9106,0
2018-01-01 00:01:40,0.5939,0.0561,3.3369999999999997,0.004,0.009000000000000001,0.6629999999999999,0
2018-01-01 00:01:50,0.6126,0.0572,3.3171,0.0,0.0131,0.6829,0
2018-01-01 00:02:00,0.386,0.0591,3.5258,0.019,0.01,0.4742,0
2018-01-01 00:02:10,0.2745,0.0464,3.6578,0.0071,0.0141,0.3422,0
2018-01-01 00:02:20,0.2972,0.0683,3.6225,0.004,0.008,0.3775,0
2018-01-01 00:02:30,0.2504,0.0606,3.6637,0.0151,0.0101,0.3363,0
2018-01-01 00:02:40,0.2401,0.0573,3.6925,0.002,0.008,0.3075,0
2018-01-01 00:02:50,0.2401,0.0563,3.6875,0.002,0.0141,0.3125,0
2018-01-01 00:03:00,0.239,0.0716,3.6763,0.004,0.0091,0.3237,0
2018-01-01 00:03:10,0.2457,0.0602,3.661,0.0241,0.009000000000000001,0.33899999999999997,0
2018-01-01 00:03:20,0.198,0.0566,3.7302,0.0071,0.0081,0.2698,0
2018-01-01 00:03:30,0.2583,0.0633,3.6603,0.008,0.0101,0.3397,0
2018-01-01 00:03:40,0.2397,0.0504,3.6948,0.003,0.0121,0.3052,0
2018-01-01 00:03:50,0.2273,0.0515,3.7089999999999996,0.004,0.0081,0.29100000000000004,0
2018-01-01 00:04:00,0.2382,0.0751,3.6737,0.004,0.009000000000000001,0.3263,0
2018-01-01 00:04:10,0.2361,0.0555,3.6933,0.0061,0.0091,0.3067,0
2018-01-01 00:04:20,0.2342,0.057999999999999996,3.6938,0.004,0.01,0.3062,0
2018-01-01 00:04:30,0.263,0.0642,3.6597,0.003,0.01,0.3403,0
2018-01-01 00:04:40,0.2159,0.0492,3.7238,0.003,0.008,0.2762,0
2018-01-01 00:04:50,0.2314,0.0594,3.676,0.0221,0.0111,0.324,0
2018-01-01 00:05:00,0.2616,0.0709,3.6525,0.003,0.012,0.3475,0
2018-01-01 00:05:10,0.2383,0.0651,3.6816,0.004,0.011000000000000001,0.3184,0
2018-01-01 00:05:20,0.2434,0.0651,3.6775,0.001,0.013000000000000001,0.3225,0
2018-01-01 00:05:30,0.2439,0.064,3.6741,0.006,0.012,0.3259,0
2018-01-01 00:05:40,0.2056,0.0557,3.7276,0.0041,0.0071,0.2724,0
2018-01-01 00:05:50,0.2384,0.0553,3.6922,0.004,0.0101,0.3078,0
2018-01-01 00:06:00,0.2254,0.0584,3.7042,0.004,0.008,0.2958,0
2018-01-01 00:06:10,0.2496,0.0533,3.6839,0.004,0.0091,0.3161,0
2018-01-01 00:06:20,0.2226,0.0562,3.7052,0.004,0.012,0.2948,0
2018-01-01 00:06:30,0.2541,0.0563,3.6715,0.006999999999999999,0.011000000000000001,0.3285,0
2018-01-01 00:06:40,0.2273,0.0551,3.7056,0.002,0.01,0.2944,0
2018-01-01 00:06:50,0.2419,0.0602,3.6878,0.002,0.008,0.3122,0
2018-01-01 00:07:00,0.2382,0.0593,3.6874,0.003,0.0121,0.3126,0
2018-01-01 00:07:10,0.2438,0.0602,3.6709,0.013999999999999999,0.011000000000000001,0.3291,0
2018-01-01 00:07:20,0.2176,0.0564,3.7159,0.0,0.0101,0.2841,0
2018-01-01 00:07:30,0.2357,0.0564,3.6787,0.0181,0.0111,0.3213,0
2018-01-01 00:07:40,0.2237,0.0542,3.7081,0.006,0.008,0.2919,0
2018-01-01 00:07:50,0.2345,0.0594,3.687,0.0111,0.0081,0.313,0
2018-01-01 00:08:00,0.2331,0.065,3.6879,0.004,0.01,0.3121,0
2018-01-01 00:08:10,0.2398,0.0662,3.6749,0.006999999999999999,0.012,0.3251,0
2018-01-01 00:08:20,0.2114,0.0554,3.7031,0.0191,0.0111,0.2969,0
2018-01-01 00:08:30,0.23399999999999999,0.0613,3.6907,0.003,0.011000000000000001,0.3093,0
2018-01-01 00:08:40,0.2199,0.0515,3.7175,0.003,0.0081,0.2825,0
2018-01-01 00:08:50,0.2297,0.0602,3.698,0.004,0.008,0.302,0
2018-01-01 00:09:00,0.2279,0.0534,3.7036,0.003,0.0121,0.2964,0
2018-01-01 00:09:10,0.2323,0.0681,3.6836,0.006999999999999999,0.009000000000000001,0.3164,0
2018-01-01 00:09:20,0.2245,0.0581,3.7053,0.003,0.009000000000000001,0.2947,0
2018-01-01 00:09:30,0.2453,0.0573,3.6782,0.006,0.0131,0.3218,0
2018-01-01 00:09:40,0.2162,0.0583,3.7103,0.003,0.0121,0.2897,0
2018-01-01 00:09:50,0.2034,0.0506,3.7277,0.003,0.0152,0.2723,0
2018-01-01 00:10:00,0.2755,0.0496,3.6556,0.0071,0.0122,0.3444,0
2018-01-01 00:10:10,0.221,0.0693,3.6966,0.003,0.01,0.3034,0
2018-01-01 00:10:20,0.2297,0.0659,3.6905,0.003,0.011000000000000001,0.3095,0
2018-01-01 00:10:30,0.2465,0.0543,3.675,0.0151,0.0091,0.325,0
2018-01-01 00:10:40,0.2333,0.0511,3.6986,0.004,0.013000000000000001,0.3014,0
2018-01-01 00:10:50,0.2035,0.0614,3.718,0.004,0.0131,0.282,0
2018-01-01 00:11:00,0.2195,0.0435,3.7198,0.0051,0.0121,0.2802,0
2018-01-01 00:11:10,0.2425,0.0531,3.6893,0.004,0.011000000000000001,0.3107,0
2018-01-01 00:11:20,0.215,0.0563,3.7146,0.003,0.0111,0.2854,0
2018-01-01 00:11:30,0.2404,0.0634,3.6811,0.005,0.0101,0.3189,0
2018-01-01 00:11:40,0.2317,0.0599,3.6705,0.024,0.013999999999999999,0.3295,0
2018-01-01 00:11:50,0.2374,0.0571,3.6965,0.003,0.006,0.3035,0
2018-01-01 00:12:00,0.2496,0.0581,3.6652,0.016,0.011000000000000001,0.3348,0
2018-01-01 00:12:10,0.2059,0.0656,3.6902,0.0252,0.0131,0.3098,0
2018-01-01 00:12:20,0.2239,0.0532,3.7129,0.003,0.006999999999999999,0.2871,0
2018-01-01 00:12:30,0.2445,0.0604,3.6639,0.0231,0.0081,0.3361,0
2018-01-01 00:12:40,0.1893,0.0516,3.7460000000000004,0.003,0.0101,0.254,0
2018-01-01 00:12:50,0.2326,0.0574,3.6959,0.004,0.0101,0.3041,0
2018-01-01 00:13:00,0.2315,0.0554,3.696,0.005,0.0121,0.304,0
2018-01-01 00:13:10,0.2285,0.0607,3.6967,0.004,0.0101,0.3033,0
2018-01-01 00:13:20,0.2132,0.0583,3.7073,0.0111,0.0101,0.2927,0
2018-01-01 00:13:30,0.231,0.0605,3.6933,0.004,0.0111,0.3067,0
2018-01-01 00:13:40,0.2219,0.069,3.6921,0.006,0.011000000000000001,0.3079,0
2018-01-01 00:13:50,0.2061,0.0535,3.7253,0.004,0.0111,0.2747,0
2018-01-01 00:14:00,0.5366,0.0473,3.3899,0.0191,0.006999999999999999,0.6101,0
2018-01-01 00:14:10,0.2236,0.0742,3.6891,0.003,0.01,0.3109,0
2018-01-01 00:14:20,0.2143,0.0553,3.7182,0.004,0.0081,0.2818,0
2018-01-01 00:14:30,0.2571,0.0544,3.6613,0.0192,0.0081,0.3387,0
2018-01-01 00:14:40,0.2204,0.0503,3.7122,0.005,0.0121,0.2878,0
2018-01-01 00:14:50,0.5229,0.0521,3.406,0.006,0.013000000000000001,0.594,0
2018-01-01 00:15:00,0.264,0.0645,3.6311,0.0302,0.0101,0.3689,0
2018-01-01 00:15:10,0.41600000000000004,0.0645,3.5014,0.004,0.0141,0.4986,0
2018-01-01 00:15:20,0.4338,0.0545,3.4885,0.003,0.0202,0.5115,0
2018-01-01 00:15:30,0.3021,0.0705,3.5982,0.0121,0.0171,0.4018,0
2018-01-01 00:15:40,0.2648,0.0634,3.6466,0.0131,0.0121,0.3534,0
2018-01-01 00:15:50,0.6307,0.0622,3.283,0.003,0.0211,0.7170000000000001,0
2018-01-01 00:16:00,0.2284,0.0606,3.6928,0.003,0.0152,0.3072,0
2018-01-01 00:16:10,0.2392,0.0633,3.6714,0.006999999999999999,0.0191,0.3286,0
2018-01-01 00:16:20,0.2955,0.0543,3.6362,0.002,0.0121,0.3638,0
2018-01-01 00:16:30,0.6276,0.0714,3.2819,0.005,0.0141,0.7181,0
2018-01-01 00:16:40,0.2472,0.0676,3.6671,0.0061,0.0121,0.3329,0
2018-01-01 00:16:50,0.4526,0.0682,3.4631,0.003,0.013000000000000001,0.5369,0
2018-01-01 00:17:00,0.2887,0.0692,3.591,0.0301,0.0211,0.409,0
2018-01-01 00:17:10,0.2632,0.0794,3.6334,0.003,0.0211,0.3666,0
2018-01-01 00:17:20,0.2293,0.0521,3.6996,0.003,0.016,0.3004,0
2018-01-01 00:17:30,0.2286,0.0627,3.6894,0.002,0.0172,0.3106,0
2018-01-01 00:17:40,0.2155,0.0564,3.702,0.0161,0.0101,0.298,0
2018-01-01 00:17:50,0.2204,0.0611,3.7065,0.003,0.009000000000000001,0.2935,0
2018-01-01 00:18:00,0.2348,0.0675,3.6795,0.0091,0.0091,0.3205,0
2018-01-01 00:18:10,0.2312,0.0616,3.6931,0.003,0.0111,0.3069,0
2018-01-01 00:18:20,0.2162,0.0503,3.7195,0.004,0.0101,0.2805,0
2018-01-01 00:18:30,0.2638,0.0614,3.6657,0.002,0.006999999999999999,0.3343,0
2018-01-01 00:18:40,0.2106,0.0504,3.7239,0.003,0.0121,0.2761,0
2018-01-01 00:18:50,0.2265,0.0521,3.7063,0.003,0.012,0.2937,0
2018-01-01 00:19:00,0.2635,0.0739,3.6437,0.006,0.013000000000000001,0.3563,0
2018-01-01 00:19:10,0.2261,0.0703,3.6855,0.009000000000000001,0.009000000000000001,0.3145,0
2018-01-01 00:19:20,0.1995,0.0423,3.7411,0.003,0.0141,0.2589,0
2018-01-01 00:19:30,0.2542,0.0663,3.6644,0.004,0.0111,0.3356,0
2018-01-01 00:19:40,0.1964,0.0597,3.7348,0.002,0.0071,0.2652,0
2018-01-01 00:19:50,0.2114,0.0473,3.7242,0.004,0.0131,0.2758,0
2018-01-01 00:20:00,0.2375,0.0584,3.687,0.003,0.0141,0.313,0
2018-01-01 00:20:10,0.2267,0.0732,3.678,0.008,0.013999999999999999,0.322,0
2018-01-01 00:20:20,0.2115,0.0443,3.7291,0.004,0.0111,0.2709,0
2018-01-01 00:20:30,0.2328,0.0645,3.6896,0.003,0.0101,0.3104,0
