@timestamp,system.network.in.bytes,system.network.in.packets,system.network.in.dropped,system.network.out.bytes,system.network.out.packets,system.network.out.errors,label
2018-01-01 00:00:00,3000000.0,13038.0,1.0,3000000.0,12179.0,0.0,0
2018-01-01 00:00:10,3000000.0,13178.0,1.0,4000000.0,12232.0,0.0,0
2018-01-01 00:00:20,4000000.0,12945.0,1.0,3000000.0,12161.0,0.0,0
2018-01-01 00:00:30,3000000.0,13850.0,1.0,3000000.0,12750.0,0.0,0
2018-01-01 00:00:40,3000000.0,12838.0,0.0,4000000.0,11985.0,0.0,0
2018-01-01 00:00:50,3000000.0,12799.0,1.0,3000000.0,11980.0,0.0,0
2018-01-01 00:01:00,3000000.0,12681.0,1.0,3000000.0,11806.0,0.0,0
2018-01-01 00:01:10,3000000.0,12743.0,1.0,3000000.0,12018.0,0.0,0
2018-01-01 00:01:20,4000000.0,8619.0,1.0,4000000.0,8915.0,4.0,0
2018-01-01 00:01:30,4000000.0,6562.0,1.0,4000000.0,7141.0,3.0,0
2018-01-01 00:01:40,4000000.0,6551.0,0.0,4000000.0,7116.0,3.0,0
2018-01-01 00:01:50,4000000.0,6655.0,1.0,4000000.0,7157.0,6.0,0
2018-01-01 00:02:00,4000000.0,6637.0,1.0,3000000.0,7092.0,2.0,0
2018-01-01 00:02:10,4000000.0,6675.0,2.0,4000000.0,7178.0,6.0,0
2018-01-01 00:02:20,3000000.0,6428.0,0.0,4000000.0,6992.0,6.0,0
2018-01-01 00:02:30,4000000.0,6802.0,1.0,4000000.0,7454.0,9.0,0
2018-01-01 00:02:40,4000000.0,6749.0,1.0,4000000.0,7244.0,5.0,0
2018-01-01 00:02:50,4000000.0,6809.0,1.0,4000000.0,7297.0,5.0,0
2018-01-01 00:03:00,4000000.0,6694.0,0.0,4000000.0,7087.0,7.0,0
2018-01-01 00:03:10,4000000.0,6738.0,1.0,4000000.0,7177.0,3.0,0
2018-01-01 00:03:20,4000000.0,6535.0,1.0,3000000.0,7160.0,4.0,0
2018-01-01 00:03:30,4000000.0,6632.0,0.0,4000000.0,7089.0,8.0,0
2018-01-01 00:03:40,4000000.0,6744.0,1.0,4000000.0,7126.0,5.0,0
2018-01-01 00:03:50,4000000.0,6468.0,1.0,4000000.0,7105.0,4.0,0
2018-01-01 00:04:00,4000000.0,6739.0,1.0,4000000.0,7218.0,5.0,0
2018-01-01 00:04:10,4000000.0,6741.0,1.0,4000000.0,7312.0,6.0,0
2018-01-01 00:04:20,4000000.0,6704.0,1.0,4000000.0,7330.0,3.0,0
2018-01-01 00:04:30,4000000.0,6787.0,0.0,3000000.0,7231.0,9.0,0
2018-01-01 00:04:40,4000000.0,6647.0,0.0,4000000.0,7000.0,4.0,0
2018-01-01 00:04:50,4000000.0,6693.0,1.0,4000000.0,7045.0,4.0,0
2018-01-01 00:05:00,4000000.0,6820.0,1.0,4000000.0,6961.0,4.0,0
2018-01-01 00:05:10,3000000.0,6593.0,0.0,4000000.0,7050.0,4.0,0
2018-01-01 00:05:20,4000000.0,6612.0,3.0,4000000.0,7250.0,3.0,0
2018-01-01 00:05:30,4000000.0,6523.0,0.0,3000000.0,7077.0,4.0,0
2018-01-01 00:05:40,4000000.0,6507.0,0.0,4000000.0,7052.0,3.0,0
2018-01-01 00:05:50,4000000.0,6866.0,0.0,4000000.0,7386.0,4.0,0
2018-01-01 00:06:00,4000000.0,6740.0,1.0,4000000.0,7242.0,6.0,0
2018-01-01 00:06:10,4000000.0,6669.0,0.0,4000000.0,7145.0,6.0,0
2018-01-01 00:06:20,4000000.0,6473.0,3.0,3000000.0,7036.0,3.0,0
2018-01-01 00:06:30,4000000.0,6327.0,0.0,4000000.0,7030.0,3.0,0
2018-01-01 00:06:40,4000000.0,6713.0,1.0,4000000.0,7028.0,4.0,0
2018-01-01 00:06:50,4000000.0,6525.0,1.0,4000000.0,7066.0,4.0,0
2018-01-01 00:07:00,3000000.0,6476.0,0.0,4000000.0,6993.0,2.0,0
2018-01-01 00:07:10,4000000.0,6563.0,3.0,3000000.0,7121.0,2.0,0
2018-01-01 00:07:20,4000000.0,6586.0,0.0,4000000.0,7083.0,2.0,0
2018-01-01 00:07:30,4000000.0,6726.0,0.0,4000000.0,7103.0,7.0,0
2018-01-01 00:07:40,4000000.0,6380.0,1.0,4000000.0,7220.0,4.0,0
2018-01-01 00:07:50,4000000.0,6591.0,0.0,4000000.0,7035.0,7.0,0
2018-01-01 00:08:00,4000000.0,6558.0,2.0,3000000.0,7106.0,6.0,0
2018-01-01 00:08:10,4000000.0,6615.0,2.0,4000000.0,6836.0,7.0,0
2018-01-01 00:08:20,4000000.0,6614.0,1.0,4000000.0,7346.0,4.0,0
2018-01-01 00:08:30,4000000.0,6569.0,0.0,4000000.0,7056.0,5.0,0
2018-01-01 00:08:40,4000000.0,6638.0,0.0,4000000.0,7264.0,4.0,0
2018-01-01 00:08:50,4000000.0,6704.0,0.0,4000000.0,7308.0,4.0,0
2018-01-01 00:09:00,4000000.0,6666.0,2.0,3000000.0,7012.0,6.0,0
2018-01-01 00:09:10,3000000.0,6699.0,1.0,4000000.0,7287.0,4.0,0
2018-01-01 00:09:20,4000000.0,6666.0,1.0,4000000.0,7056.0,6.0,0
2018-01-01 00:09:30,4000000.0,6577.0,0.0,4000000.0,7147.0,3.0,0
2018-01-01 00:09:40,4000000.0,6731.0,0.0,4000000.0,7232.0,1.0,0
2018-01-01 00:09:50,4000000.0,6621.0,0.0,4000000.0,7082.0,4.0,0
