@timestamp,system.cpu.user.pct,system.cpu.system.pct,system.cpu.idle.pct,system.cpu.iowait.pct,system.cpu.softirq.pct,system.cpu.total.pct
2018-01-01 00:00:00,0.2434,0.0583,3.6799,0.0092,0.0092,0.3201
2018-01-01 00:10:00,0.2,0.0616,3.7253,0.003,0.0101,0.2747
2018-01-01 00:20:00,0.2394,0.0677,3.6768,0.0061,0.0101,0.3232
2018-01-01 00:30:00,0.2221,0.0472,3.7176,0.002,0.0111,0.2824
2018-01-01 00:40:00,0.2284,0.0561,3.6995,0.004,0.012,0.3005
2018-01-01 00:50:00,0.2627,0.0689,3.6325,0.025,0.011,0.3675
2018-01-01 01:00:00,0.229,0.059,3.69,0.0116,0.0104,0.31
2018-01-01 01:10:00,0.1931,0.0488,3.7459,0.002,0.0102,0.2541
2018-01-01 01:20:00,0.2228,0.0587,3.7023,0.0071,0.0091,0.2977
2018-01-01 01:30:00,0.2275,0.0463,3.706,0.0121,0.0081,0.294
2018-01-01 01:40:00,0.2264,0.0473,3.7113,0.003,0.0121,0.2887
2018-01-01 01:50:00,0.2265,0.0554,3.697,0.007,0.0141,0.303
2018-01-01 02:00:00,0.2226,0.0527,3.7061,0.0082,0.0104,0.2939
2018-01-01 02:10:00,0.2129,0.0555,3.7226,0.003,0.0061,0.2774
2018-01-01 02:20:00,0.2401,0.073,3.6748,0.003,0.009,0.3252
2018-01-01 02:30:00,0.2204,0.0604,3.6981,0.007,0.0141,0.3019
2018-01-01 02:40:00,0.2222,0.0523,3.7135,0.003,0.009,0.2865
2018-01-01 02:50:00,0.2351,0.0522,3.6866,0.0181,0.008,0.3134
2018-01-01 03:00:00,0.2327,0.0591,3.6915,0.007,0.0097,0.3085
2018-01-01 03:10:00,0.2168,0.0642,3.7049,0.002,0.012,0.2951
2018-01-01 03:20:00,0.2535,0.0591,3.6733,0.004,0.01,0.3267
2018-01-01 03:30:00,0.2509,0.062,3.6732,0.003,0.011,0.3268
2018-01-01 03:40:00,0.22,0.0583,3.7036,0.006,0.0121,0.2964
2018-01-01 03:50:00,0.2429,0.061,3.6812,0.004,0.011,0.3188
2018-01-01 04:00:00,0.2335,0.0619,3.6901,0.0035,0.011,0.3099
2018-01-01 04:10:00,0.2267,0.0552,3.7071,0.001,0.01,0.2929
2018-01-01 04:20:00,0.2416,0.0682,3.6591,0.019,0.012,0.3409
2018-01-01 04:30:00,0.2111,0.0515,3.7253,0.003,0.0091,0.2747
2018-01-01 04:40:00,0.2233,0.0475,3.7171,0.002,0.0101,0.2829
2018-01-01 04:50:00,0.4148,0.0515,3.5206,0.001,0.0121,0.4794
2018-01-01 05:00:00,0.2641,0.0572,3.6589,0.0089,0.0109,0.3411
2018-01-01 05:10:00,0.2372,0.0503,3.7044,0.001,0.007,0.2956
2018-01-01 05:20:00,0.4302,0.061,3.4877,0.007,0.014,0.5123
2018-01-01 05:30:00,0.2283,0.0644,3.6943,0,0.0131,0.3057
2018-01-01 05:40:00,0.2312,0.0671,3.6847,0.004,0.013,0.3153
2018-01-01 05:50:00,0.4244,0.0575,3.506,0.002,0.0101,0.494
2018-01-01 06:00:00,0.3267,0.0638,3.5934,0.0032,0.0129,0.4066
2018-01-01 06:10:00,0.2561,0.0565,3.6713,0.002,0.0141,0.3287
2018-01-01 06:20:00,0.2432,0.0484,3.6912,0.005,0.0121,0.3088
2018-01-01 06:30:00,0.2601,0.057,3.6638,0.006,0.013,0.3362
2018-01-01 06:40:00,0.2522,0.0504,3.6903,0,0.0071,0.3097
2018-01-01 06:50:00,0.3284,0.0649,3.5857,0.004,0.017,0.4143
2018-01-01 07:00:00,0.2673,0.0559,3.661,0.0033,0.0124,0.339
2018-01-01 07:10:00,0.2587,0.0541,3.6721,0.004,0.011,0.3279
2018-01-01 07:20:00,0.4204,0.0614,3.4931,0.003,0.0221,0.5069
2018-01-01 07:30:00,0.3092,0.0673,3.6035,0.005,0.0151,0.3965
