@timestamp,jvm.metrics.memory.heap_memory_usage.committed,jvm.metrics.memory.heap_memory_usage.max,jvm.metrics.memory.heap_memory_usage.used,jvm.metrics.threading.thread_count,jvm.metrics.gc.psms.collection_count,jvm.metrics.gc.psms.collection_time,jvm.metrics.gc.pss.collection_count,jvm.metrics.gc.pss.collection_time
2018-01-01 00:00:00,2054160384,2054160384,665974520,1102,0,0,2,67
2018-01-01 00:01:00,2055208960,2055208960,634947024,1102,0,0,2,69
2018-01-01 00:02:00,2057306112,2057306112,607255520,1102,0,0,2,64
2018-01-01 00:03:00,2056257536,2056257536,1092275128,1102,0,0,1,33
2018-01-01 00:04:00,2057830400,2057830400,1053119840,1103,0,0,2,64
2018-01-01 00:05:00,2067791872,2067791872,635086848,1249,0,0,3,107
2018-01-01 00:06:00,2047344640,2047344640,959015072,1386,0,0,2,97
2018-01-01 00:07:00,2047868928,2047868928,1028799488,1449,0,0,2,97
2018-01-01 00:08:00,2035286016,2035286016,885254768,1408,0,0,3,141
2018-01-01 00:09:00,2020081664,2020081664,1098279480,1428,0,0,2,106
2018-01-01 00:10:00,2036334592,2036334592,880750008,1332,0,0,3,152
2018-01-01 00:11:00,2041577472,2041577472,1001143832,1296,0,0,2,105
2018-01-01 00:12:00,2044723200,2044723200,1012829736,1152,0,0,2,89
2018-01-01 00:13:00,2047344640,2047344640,1029263400,1152,0,0,2,87
2018-01-01 00:14:00,2048393216,2048393216,870865768,1155,1,742,3,135
2018-01-01 00:15:00,1972895744,1972895744,940133392,952,0,0,2,49
2018-01-01 00:16:00,2046820352,2046820352,986023704,952,0,0,2,51
2018-01-01 00:17:00,2052587520,2052587520,978792896,952,0,0,2,55
2018-01-01 00:18:00,2060451840,2060451840,939736304,952,0,0,2,63
2018-01-01 00:19:00,2041577472,2041577472,886473016,953,0,0,2,74
2018-01-01 00:20:00,2046296064,2046296064,813114760,952,0,0,2,78
2018-01-01 00:21:00,2044198912,2044198912,552720240,1136,0,0,3,124
2018-01-01 00:22:00,2017460224,2017460224,738852936,1215,0,0,2,99
2018-01-01 00:23:00,2036858880,2036858880,906724728,1125,0,0,2,91
2018-01-01 00:24:00,2040004608,2040004608,828578808,1268,0,0,3,133
2018-01-01 00:25:00,2041577472,2041577472,587588296,1272,0,0,3,146
2018-01-01 00:26:00,2041577472,2041577472,847285832,1205,0,0,2,98
2018-01-01 00:27:00,2047344640,2047344640,955151272,1150,0,0,2,97
2018-01-01 00:28:00,2047344640,2047344640,956867048,1002,0,0,2,81
2018-01-01 00:29:00,2047868928,2047868928,952424488,1005,0,0,2,81
2018-01-01 00:30:00,2049966080,2049966080,945056208,1002,0,0,2,81
2018-01-01 00:31:00,2053111808,2053111808,933177968,1002,0,0,2,82
2018-01-01 00:32:00,2056781824,2056781824,916417768,1002,0,0,2,83
2018-01-01 00:33:00,2060451840,2060451840,883521328,1002,0,0,2,75
2018-01-01 00:34:00,2064646144,2064646144,840048288,1003,0,0,2,82
2018-01-01 00:35:00,2067791872,2067791872,742080816,1002,0,0,2,83
2018-01-01 00:36:00,2066219008,2066219008,842851992,1150,0,0,2,82
2018-01-01 00:37:00,2061500416,2061500416,1086290600,1241,0,0,2,97
2018-01-01 00:38:00,2060451840,2060451840,1011254808,1254,0,0,2,105
2018-01-01 00:39:00,2063073280,2063073280,666586248,1204,0,0,3,125
2018-01-01 00:40:00,2044723200,2044723200,980535896,1319,0,0,2,109
2018-01-01 00:41:00,2026897408,2026897408,1071476344,1245,0,0,2,98
2018-01-01 00:42:00,2045247488,2045247488,740508824,1218,0,0,3,150
2018-01-01 00:43:00,2048917504,2048917504,839918552,1200,0,0,2,108
2018-01-01 00:44:00,2052063232,2052063232,831986792,1055,0,0,2,101
2018-01-01 00:45:00,2054684672,2054684672,802190776,1052,0,0,2,95
2018-01-01 00:46:00,2057306112,2057306112,778040496,1052,0,0,2,101
2018-01-01 00:47:00,2060451840,2060451840,747523296,1052,0,0,2,95
2018-01-01 00:48:00,2057830400,2057830400,678445696,1052,0,0,2,75
2018-01-01 00:49:00,2056781824,2056781824,631894848,1053,0,0,2,68
2018-01-01 00:50:00,2058354688,2058354688,602657400,1052,0,0,2,62
2018-01-01 00:51:00,2057306112,2057306112,1048806024,1052,0,0,1,37
2018-01-01 00:52:00,2056781824,2056781824,809449808,1221,0,0,3,122
2018-01-01 00:53:00,2051014656,2051014656,915170920,1305,0,0,2,99
2018-01-01 00:54:00,2057830400,2057830400,987263872,1223,0,0,2,95
2018-01-01 00:55:00,2043150336,2043150336,732476744,1361,0,0,3,136
2018-01-01 00:56:00,2036858880,2036858880,928567984,1362,0,0,2,111
2018-01-01 00:57:00,2043150336,2043150336,1061260776,1265,0,0,2,103
2018-01-01 00:58:00,2052063232,2052063232,815357840,1252,0,0,3,132
2018-01-01 00:59:00,2051538944,2051538944,804520288,1212,0,0,2,105
2018-01-01 01:00:00,2055733248,2055733248,788197976,1102,0,0,2,101
2018-01-01 01:01:00,2058354688,2058354688,754009312,1102,0,0,2,93
2018-01-01 01:02:00,2054684672,2054684672,688520704,1102,0,0,2,70
2018-01-01 01:03:00,2055208960,2055208960,656719216,1102,0,0,2,75
2018-01-01 01:04:00,2056781824,2056781824,624403520,1103,0,0,2,66
2018-01-01 01:05:00,2055733248,2055733248,1114991240,1102,0,0,1,37
2018-01-01 01:06:00,2058354688,2058354688,1052713400,1102,0,0,2,73
2018-01-01 01:07:00,2062548992,2062548992,1061787056,1158,0,0,2,80
2018-01-01 01:08:00,2064646144,2064646144,751816752,1362,0,0,3,129
2018-01-01 01:09:00,2053636096,2053636096,1185674296,1330,0,0,1,44
2018-01-01 01:10:00,2069889024,2069889024,819031616,1299,0,0,3,118
2018-01-01 01:11:00,2038431744,2038431744,758165136,1480,0,0,3,158
2018-01-01 01:12:00,2028994560,2028994560,916598248,1355,0,0,2,105
2018-01-01 01:13:00,2041053184,2041053184,1107707648,1302,0,0,2,122
2018-01-01 01:14:00,2054160384,2054160384,869932352,1305,1,707,3,139
2018-01-01 01:15:00,2043150336,2043150336,905998400,952,0,0,2,53
2018-01-01 01:16:00,2049441792,2049441792,952384200,952,0,0,2,52
2018-01-01 01:17:00,2056257536,2056257536,974300744,952,0,0,2,62
2018-01-01 01:18:00,2058354688,2058354688,960995872,952,0,0,2,65
2018-01-01 01:19:00,2056781824,2056781824,919758688,953,0,0,2,76
2018-01-01 01:20:00,2056257536,2056257536,889034696,952,0,0,2,74
2018-01-01 01:21:00,2055208960,2055208960,851132888,952,0,0,2,80
2018-01-01 01:22:00,2054160384,2054160384,806989144,952,0,0,2,80
2018-01-01 01:23:00,2055733248,2055733248,568886096,1135,0,0,3,122
2018-01-01 01:24:00,2043674624,2043674624,723410320,1218,0,0,2,95
