@timestamp,system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes
2018-01-01 00:00:00,0.667,0.143,68.682,1570000
2018-01-01 00:01:00,0.624,0.134,0,1569000
2018-01-01 00:02:00,0.534,0.113,0,1540000
2018-01-01 00:03:00,0.693,0.149,0,1564000
2018-01-01 00:04:00,0.728,0.158,68.71,1581000
2018-01-01 00:05:00,0.617,0.132,963.643,1571000
2018-01-01 00:06:00,0.637,0.128,5835,1475000
2018-01-01 00:07:00,0.652,0.109,0,1237000
2018-01-01 00:08:00,0.548,0.08,0,1081000
2018-01-01 00:09:00,0.52,0.068,0,987412
2018-01-01 00:10:00,0.6,0.121,0,1476000
2018-01-01 00:11:00,0.593,0.127,1745,1570000
2018-01-01 00:12:00,0.56,0.123,893.161,1597000
2018-01-01 00:13:00,0.649,0.142,0,1594000
2018-01-01 00:14:00,0.695,0.15,0,1573000
2018-01-01 00:15:00,0.53,0.115,0,1593000
2018-01-01 00:16:00,0.517,0.112,0,1616000
2018-01-01 00:17:00,0.525,0.114,0,1537000
2018-01-01 00:18:00,0.586,0.129,68.515,1598000
2018-01-01 00:19:00,0.53,0.116,0,1605000
2018-01-01 00:20:00,0.537,0.116,68.492,1616000
2018-01-01 00:21:00,0.584,0.118,0,1447000
2018-01-01 00:22:00,0.55,0.116,411.813,1550000
2018-01-01 00:23:00,0.509,0.077,0,1160000
2018-01-01 00:24:00,0.536,0.067,0,948702
2018-01-01 00:25:00,0.512,0.085,137.173,1236000
2018-01-01 00:26:00,0.576,0.116,1807,1460000
2018-01-01 00:27:00,0.567,0.124,68.57,1639000
2018-01-01 00:28:00,0.564,0.121,0,1491000
2018-01-01 00:29:00,0.526,0.116,0,1620000
2018-01-01 00:30:00,0.625,0.133,480.409,1618000
2018-01-01 00:31:00,0.527,0.115,68.65,1552000
2018-01-01 00:32:00,0.532,0.116,0,1588000
2018-01-01 00:33:00,0.527,0.116,0,1614000
2018-01-01 00:34:00,0.553,0.12,0,1638000
2018-01-01 00:35:00,0.593,0.125,0,1516000
2018-01-01 00:36:00,0.563,0.121,1338,1581000
2018-01-01 00:37:00,0.689,0.136,1074,1497000
2018-01-01 00:38:00,0.514,0.089,824.49,1297000
2018-01-01 00:39:00,0.459,0.068,68.722,1079000
2018-01-01 00:40:00,0.558,0.084,0,1123000
2018-01-01 00:41:00,0.514,0.086,1337,1242000
2018-01-01 00:42:00,0.601,0.13,0,1565000
2018-01-01 00:43:00,0.619,0.132,0,1551000
2018-01-01 00:44:00,0.686,0.147,1473,1564000
2018-01-01 00:45:00,0.637,0.14,961.502,1601000
2018-01-01 00:46:00,0.568,0.124,1815,1600000
2018-01-01 00:47:00,0.599,0.131,0,1593000
2018-01-01 00:48:00,0.528,0.115,68.492,1605000
2018-01-01 00:49:00,0.58,0.127,1277,1509000
2018-01-01 00:50:00,0.593,0.129,0,1590000
2018-01-01 00:51:00,0.571,0.125,549.016,1595000
2018-01-01 00:52:00,0.602,0.123,2680,1554000
2018-01-01 00:53:00,0.539,0.118,757.498,1535000
2018-01-01 00:54:00,0.552,0.083,4607,1138000
2018-01-01 00:55:00,0.583,0.074,4908,1005000
2018-01-01 00:56:00,0.516,0.087,3019,1198000
2018-01-01 00:57:00,0.548,0.108,412.574,1433000
2018-01-01 00:58:00,0.528,0.115,0,1571000
2018-01-01 00:59:00,0.582,0.127,0,1640000
2018-01-01 01:00:00,0.562,0.122,0,1550000
2018-01-01 01:01:00,0.54,0.118,2884,1615000
2018-01-01 01:02:00,0.594,0.128,617.901,1619000
2018-01-01 01:03:00,0.566,0.122,891.516,1538000
2018-01-01 01:04:00,0.563,0.122,0,1580000
2018-01-01 01:05:00,0.598,0.131,961.946,1588000
2018-01-01 01:06:00,0.657,0.142,68.595,1637000
2018-01-01 01:07:00,0.538,0.12,1539,1575000
2018-01-01 01:08:00,0.561,0.113,0,1487000
2018-01-01 01:09:00,0.602,0.109,754.644,1393000
2018-01-01 01:10:00,0.62,0.09,0,1068000
2018-01-01 01:11:00,0.588,0.088,754.58,1085000
2018-01-01 01:12:00,0.556,0.093,0,1242000
2018-01-01 01:13:00,0.546,0.119,0,1576000
2018-01-01 01:14:00,0.532,0.117,0,1601000
2018-01-01 01:15:00,0.774,0.169,684.978,1595000
2018-01-01 01:16:00,0.647,0.142,1676,1598000
2018-01-01 01:17:00,0.563,0.122,1003,1577000
2018-01-01 01:18:00,0.654,0.144,0,1612000
2018-01-01 01:19:00,0.701,0.151,3683,1577000
2018-01-01 01:20:00,0.594,0.13,137.357,1622000
2018-01-01 01:21:00,0.692,0.148,3214,1522000
2018-01-01 01:22:00,0.5,0.11,0,1596000
2018-01-01 01:23:00,0.532,0.108,0,1503000
2018-01-01 01:24:00,0.556,0.117,0,1580000
2018-01-01 01:25:00,0.489,0.08,2683,1187000
2018-01-01 01:26:00,0.536,0.068,4774,977953
2018-01-01 01:27:00,0.541,0.088,0,1242000
2018-01-01 01:28:00,0.486,0.093,68.495,1366000
2018-01-01 01:29:00,0.601,0.132,1342,1598000
2018-01-01 01:30:00,0.521,0.115,0,1610000
2018-01-01 01:31:00,0.683,0.148,1139,1642000
2018-01-01 01:32:00,0.514,0.112,1004,1500000
