@timestamp,system.cpu.user.pct,system.cpu.system.pct,system.cpu.idle.pct,system.cpu.iowait.pct,system.cpu.softirq.pct,system.cpu.total.pct
2018-01-01 00:00:00,0.8111,0.4673,2.7116,0.001,0.009,1.2884
2018-01-01 00:00:10,0.686,0.3954,2.9046,0.005,0.009,1.0954
2018-01-01 00:00:20,0.9466,0.5646,2.4778,0.005,0.006,1.5222
2018-01-01 00:00:30,1.021,0.6326,2.3223,0.016,0.008,1.6777
2018-01-01 00:00:40,0.9689,0.6319,2.3811,0.008,0.01,1.6189
2018-01-01 00:00:50,0.8488,0.5115,2.6256,0.005,0.009,1.3744
2018-01-01 00:01:00,0.7622,0.4471,2.7747,0.007,0.009,1.2253
2018-01-01 00:01:10,0.8117,0.4651,2.7122,0.004,0.007,1.2878
2018-01-01 00:01:20,0.7174,0.3532,2.9145,0.006,0.009,1.0855
2018-01-01 00:01:30,0.6296,0.3612,2.9983,0.003,0.008,1.0017
2018-01-01 00:01:40,0.6079,0.3316,3.0485,0.005,0.007,0.9515
2018-01-01 00:01:50,1.1625,0.6931,2.1313,0.006,0.007,1.8687
2018-01-01 00:02:00,1.4605,0.7888,1.7367,0.004,0.01,2.2633
2018-01-01 00:02:10,1.158,0.7343,2.0887,0.009,0.01,1.9113
2018-01-01 00:02:20,1.0915,0.7156,2.1819,0.006,0.005,1.8181
2018-01-01 00:02:30,0.8893,0.5671,2.5315,0.003,0.009,1.4685
2018-01-01 00:02:40,0.8687,0.518,2.5992,0.006,0.008,1.4008
2018-01-01 00:02:50,0.816,0.44,2.731,0.005,0.008,1.269
2018-01-01 00:03:00,0.9411,0.602,2.4439,0.005,0.008,1.5561
2018-01-01 00:03:10,0.7958,0.4349,2.7513,0.005,0.013,1.2487
2018-01-01 00:03:20,0.9225,0.6013,2.4622,0.005,0.009,1.5378
2018-01-01 00:03:30,0.8267,0.5274,2.6349,0.003,0.008,1.3651
2018-01-01 00:03:40,1.246,0.881,1.862,0.002,0.009,2.138
2018-01-01 00:03:50,1.1253,0.7114,2.1492,0.006,0.008,1.8508
2018-01-01 00:04:00,1.121,0.6878,2.1752,0.007,0.009,1.8248
2018-01-01 00:04:10,0.7584,0.4712,2.7404,0.019,0.011,1.2596
2018-01-01 00:04:20,0.8909,0.608,2.4921,0.004,0.005,1.5079
2018-01-01 00:04:30,0.7792,0.4907,2.7181,0.004,0.008,1.2819
2018-01-01 00:04:40,0.8886,0.6054,2.494,0.004,0.008,1.506
2018-01-01 00:04:50,1.058,0.681,2.246,0.003,0.012,1.754
2018-01-01 00:05:00,0.813,0.5163,2.6596,0,0.011,1.3404
2018-01-01 00:05:10,0.873,0.5051,2.6019,0.012,0.008,1.3981
2018-01-01 00:05:20,1.8027,1.1678,1.0195,0.004,0.006,2.9805
2018-01-01 00:05:30,1.1746,0.8024,2.007,0.007,0.009,1.993
2018-01-01 00:05:40,0.575,0.3643,3.0437,0.01,0.007,0.9563
2018-01-01 00:05:50,0.9335,0.5661,2.4833,0.01,0.007,1.5167
2018-01-01 00:06:00,1.1424,0.783,2.0646,0.005,0.005,1.9354
2018-01-01 00:06:10,0.7657,0.4927,2.7275,0.005,0.009,1.2725
2018-01-01 00:06:20,0.8406,0.5383,2.6071,0.006,0.008,1.3929
2018-01-01 00:06:30,1.4178,0.884,1.6882,0,0.01,2.3118
2018-01-01 00:06:40,1.2073,0.7982,1.9845,0.002,0.008,2.0155
2018-01-01 00:06:50,0.6169,0.3635,3.0085,0.004,0.007,0.9915
2018-01-01 00:07:00,0.6972,0.3771,2.9067,0.011,0.008,1.0933
2018-01-01 00:07:10,0.7622,0.4881,2.7346,0.006,0.009,1.2654
2018-01-01 00:07:20,0.8889,0.5508,2.5503,0.005,0.005,1.4497
2018-01-01 00:07:30,0.9752,0.613,2.4018,0.003,0.007,1.5982
2018-01-01 00:07:40,0.6578,0.4319,2.8983,0.005,0.007,1.1017
2018-01-01 00:07:50,0.9737,0.5852,2.4171,0.0161,0.008,1.5829
2018-01-01 00:08:00,0.8733,0.5439,2.5719,0.004,0.007,1.4281
2018-01-01 00:08:10,1.006,0.6433,2.3387,0.006,0.006,1.6613
2018-01-01 00:08:20,0.6466,0.3709,2.9674,0.007,0.008,1.0326
2018-01-01 00:08:30,1.0462,0.6835,2.2523,0.007,0.011,1.7477
2018-01-01 00:08:40,0.6971,0.4373,2.8546,0.002,0.009,1.1454
2018-01-01 00:08:50,0.9401,0.5465,2.4945,0.009,0.01,1.5055
2018-01-01 00:09:00,0.789,0.4996,2.6974,0.006,0.008,1.3026
2018-01-01 00:09:10,0.7808,0.4454,2.7578,0.007,0.009,1.2422
2018-01-01 00:09:20,0.6948,0.4113,2.882,0.003,0.009,1.118
2018-01-01 00:09:30,0.7886,0.4563,2.7401,0.005,0.01,1.2599
2018-01-01 00:09:40,0.7347,0.4462,2.8071,0.007,0.005,1.1929
2018-01-01 00:09:50,1.2124,0.7665,2.002,0.012,0.007,1.998
2018-01-01 00:10:00,0.9977,0.6304,2.3588,0.005,0.008,1.6412
2018-01-01 00:10:10,0.7968,0.5499,2.6283,0.018,0.007,1.3717
2018-01-01 00:10:20,0.6925,0.4217,2.8748,0.006,0.005,1.1252
2018-01-01 00:10:30,0.873,0.5733,2.5347,0.012,0.007,1.4653
2018-01-01 00:10:40,0.845,0.543,2.592,0.015,0.005,1.408
2018-01-01 00:10:50,0.9867,0.6213,2.3819,0.006,0.004,1.6181
2018-01-01 00:11:00,1.1937,0.7288,2.0705,0.001,0.006,1.9295
2018-01-01 00:11:10,0.8869,0.5117,2.5864,0.008,0.007,1.4136
2018-01-01 00:11:20,0.9759,0.3755,2.6325,0.004,0.012,1.3675
2018-01-01 00:11:30,1.4061,0.8683,1.7156,0.003,0.007,2.2844
2018-01-01 00:11:40,1.0579,0.599,2.3311,0.004,0.008,1.6689
2018-01-01 00:11:50,0.854,0.4747,2.6011,0.0592,0.011,1.3989
2018-01-01 00:12:00,0.9485,0.5553,2.4842,0.004,0.008,1.5158
2018-01-01 00:12:10,1.0498,0.6215,2.3027,0.017,0.009,1.6973
2018-01-01 00:12:20,0.7457,0.4864,2.7548,0.004,0.009,1.2452
2018-01-01 00:12:30,0.8998,0.5711,2.519,0.003,0.007,1.481
2018-01-01 00:12:40,0.9795,0.5833,2.4262,0.004,0.007,1.5738
2018-01-01 00:12:50,1.1156,0.6912,2.1781,0.009,0.006,1.8219
2018-01-01 00:13:00,0.7378,0.396,2.8501,0.005,0.011,1.1499
2018-01-01 00:13:10,0.672,0.3904,2.9206,0.007,0.01,1.0794
2018-01-01 00:13:20,0.9089,0.5734,2.4936,0.0131,0.011,1.5064
2018-01-01 00:13:30,0.9887,0.5994,2.4008,0.006,0.005,1.5992
2018-01-01 00:13:40,0.921,0.554,2.509,0.006,0.01,1.491
2018-01-01 00:13:50,0.7339,0.4478,2.8022,0.012,0.004,1.1978
2018-01-01 00:14:00,0.9708,0.6272,2.388,0.006,0.008,1.612
2018-01-01 00:14:10,0.8102,0.5008,2.672,0.009,0.008,1.328
2018-01-01 00:14:20,0.8305,0.4794,2.676,0.006,0.008,1.324
2018-01-01 00:14:30,0.8862,0.5651,2.5376,0.002,0.009,1.4624
2018-01-01 00:14:40,0.5763,0.2997,3.1059,0.0111,0.007,0.8941
2018-01-01 00:14:50,1.3803,0.8556,1.7491,0.008,0.007,2.2509
2018-01-01 00:15:00,1.979,1.2244,0.7796,0.004,0.013,3.2204
2018-01-01 00:15:10,1.7445,1.1182,1.1222,0.007,0.008,2.8778
2018-01-01 00:15:20,1.5071,0.9717,1.5051,0.007,0.009,2.4949
2018-01-01 00:15:30,0.8737,0.5324,2.5819,0.004,0.008,1.4181
2018-01-01 00:15:40,1.1157,0.7511,2.1222,0.003,0.008,1.8778
2018-01-01 00:15:50,0.9642,0.6092,2.4126,0.005,0.009,1.5874
2018-01-01 00:16:00,0.8166,0.4984,2.674,0.004,0.007,1.326
2018-01-01 00:16:10,1.2216,0.7839,1.9804,0.011,0.003,2.0196
