@timestamp,system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes
2018-01-01 00:00:00,10.046,0.022,892.038,60644
2018-01-01 00:01:00,38.308,0.083,0,59735
2018-01-01 00:02:00,9.277,0.007,0,51967
2018-01-01 00:03:00,10.296,0.019,824.836,58399
2018-01-01 00:04:00,12.883,0.031,549.614,58973
2018-01-01 00:05:00,8.738,0.015,0,56092
2018-01-01 00:06:00,15.356,0.069,45586,39620
2018-01-01 00:07:00,15.891,0.049,1072,64013
2018-01-01 00:08:00,20.536,0.039,0,78894
2018-01-01 00:09:00,7.586,0.007,136.773,48552
2018-01-01 00:10:00,10.622,0.016,1476,53669
2018-01-01 00:11:00,14.369,0.043,962.309,60279
2018-01-01 00:12:00,32.73,0.063,550.445,52881
2018-01-01 00:13:00,6.617,0.012,1807,55622
2018-01-01 00:14:00,11,0.012,615.708,53981
2018-01-01 00:15:00,30.968,0.064,0,58176
2018-01-01 00:16:00,53.714,0.139,1411,38489
2018-01-01 00:17:00,10,0.021,343.192,82983
2018-01-01 00:18:00,4.427,0.008,0,56966
2018-01-01 00:19:00,11.497,0.029,68.676,37892
2018-01-01 00:20:00,12.127,0.013,0,53231
2018-01-01 00:21:00,21.526,0.063,0,63382
2018-01-01 00:22:00,9.552,0.021,0,57677
2018-01-01 00:23:00,14.739,0.023,0,54892
2018-01-01 00:24:00,9.797,0.011,0,51902
2018-01-01 00:25:00,27.111,0.07,1611,80540
2018-01-01 00:26:00,8.984,0.018,1404,54624
2018-01-01 00:27:00,6.551,0.008,0,51665
2018-01-01 00:28:00,7.045,0.01,0,52359
2018-01-01 00:29:00,6.979,0.022,2078,61742
2018-01-01 00:30:00,4.377,0.013,0,35217
2018-01-01 00:31:00,11.377,0.018,68.699,58166
2018-01-01 00:32:00,11.947,0.015,1812,56251
2018-01-01 00:33:00,5.738,0.014,0,60148
2018-01-01 00:34:00,12.075,0.011,1069,52240
2018-01-01 00:35:00,12.257,0.022,0,81113
2018-01-01 00:36:00,9.491,0.027,822.524,60177
2018-01-01 00:37:00,12.615,0.03,0,61968
2018-01-01 00:38:00,28.387,0.029,274.255,29662
2018-01-01 00:39:00,17.038,0.03,0,55393
2018-01-01 00:40:00,6.286,0.015,1408,56329
2018-01-01 00:41:00,9.546,0.019,0,76554
2018-01-01 00:42:00,23.641,0.031,0,53423
2018-01-01 00:43:00,9.05,0.021,0,57923
2018-01-01 00:44:00,17.306,0.028,0,51613
2018-01-01 00:45:00,17.7,0.012,0,49483
2018-01-01 00:46:00,9.714,0.031,0,65572
2018-01-01 00:47:00,8.271,0.016,0,57957
2018-01-01 00:48:00,6.125,0.01,343.812,34180
2018-01-01 00:49:00,10.435,0.012,1873,53117
2018-01-01 00:50:00,29.352,0.072,963.805,59902
2018-01-01 00:51:00,7.438,0.016,68.624,59175
2018-01-01 00:52:00,20.278,0.073,754.77,104062
2018-01-01 00:53:00,39.429,0.051,0,54527
2018-01-01 00:54:00,5.443,0.018,0,64174
2018-01-01 00:55:00,5.636,0.012,1475,57940
2018-01-01 00:56:00,75.148,0.154,1139,54888
2018-01-01 00:57:00,11.944,0.014,547.868,52031
2018-01-01 00:58:00,7.443,0.015,0,54439
2018-01-01 00:59:00,26.215,0.029,548.832,50381
2018-01-01 01:00:00,7.723,0.013,68.595,33159
2018-01-01 01:01:00,5.877,0.016,0,58131
2018-01-01 01:02:00,39.041,0.079,0,83765
2018-01-01 01:03:00,36.638,0.042,0,52167
2018-01-01 01:04:00,6.667,0.011,206.322,57894
2018-01-01 01:05:00,32.667,0.069,0,59043
2018-01-01 01:06:00,42.417,0.099,137.565,59244
2018-01-01 01:07:00,7.75,0.017,0,40034
2018-01-01 01:08:00,7.556,0.016,1139,78402
2018-01-01 01:09:00,5.95,0.008,0,54641
2018-01-01 01:10:00,29.653,0.037,1006,30843
2018-01-01 01:11:00,38.178,0.122,823.558,83911
2018-01-01 01:12:00,11.481,0.021,205.752,55256
2018-01-01 01:13:00,9.787,0.008,0,49461
